movietitle;gross;budget;duration;titleyear;directorfl;actor1fl;actor2fl;actor3fl;castfl;facenumber_in_poster;genre
Hesher;382946;7000000;106;2010;58;23000;20000;973;44969;0;Drama
Hidalgo;67286731;100000000;136;2004;394;24000;10000;1000;36925;1;Action
Highlander: Endgame;12801190;15000000;101;2000;36;1000;786;377;2764;1;Action
Hitch;177575142;70000000;118;2005;72;10000;975;681;13426;1;Comedy
Hollywood Ending;4839383;16000000;112;2002;11000;11000;650;642;12766;0;Comedy
Home on the Range;50026353;110000000;76;2004;6;12000;513;421;13607;0;Comedy
Home Run;2859955;1200000;113;2013;29;890;848;449;2681;2;Drama
Honey;30222640;25000000;94;2003;23;2000;1000;582;4868;2;Drama
Hoodwinked Too! Hood vs, Evil;10134754;30000000;86;2011;6;1000;857;843;5393;0;Comedy
Horrible Bosses;117528646;35000000;106;2011;91;18000;464;64;18669;5;Comedy
Horrible Bosses 2;54414716;42000000;116;2014;51;18000;11000;465;30571;7;Comedy
Hostel;47277326;4800000;93;2005;0;1000;1000;581;2990;0;Terror
Hostel: Part II;17544812;10000000;94;2007;0;1000;683;658;4707;0;Terror
Hotel for Dogs;73023275;35000000;100;2009;87;3000;576;446;5174;4;Comedy
Hotel Transylvania;148313048;85000000;91;2012;266;12000;11000;11000;37142;2;Comedy
Hotel Transylvania 2;169692572;80000000;89;2015;266;12000;11000;859;26839;0;Comedy
House of 1000 Corpses;12583510;7000000;105;2003;0;1000;340;303;2444;0;Terror
House of Sand and Fog;13005485;15000000;126;2003;26;638;624;385;2282;0;Drama
How High;31155435;12000000;93;2001;58;995;729;722;6105;2;Comedy
How the Grinch Stole Christmas;260031035;123000000;110;2000;2000;1000;722;636;4146;0;Comedy
How to Be Single;46813366;38000000;110;2016;11;2000;756;591;4882;4;Comedy
How to Lose a Guy in 10 Days;105807520;50000000;116;2003;80;11000;1000;651;14087;2;Comedy
Hulk;132122995;137000000;138;2003;0;820;300;258;1814;0;Action
Hustle & Flow;22201636;8000000;116;2005;153;275;247;165;727;1;Drama
I Am Sam;40270895;22000000;132;2001;24;967;912;506;3152;0;Drama
I Don't Know How She Does It;9639242;24000000;89;2011;41;2000;1000;847;5470;0;Comedy
I Heart Huckabees;12784713;22000000;107;2004;737;6000;718;678;8094;11;Comedy
"I Love You; Man";71347010;40000000;105;2009;29;24000;4000;257;28928;2;Comedy
I Spit on Your Grave;92401;2000000;105;2010;68;635;445;374;2423;0;Terror
I Want Someone to Eat Cheese With;194568;1500000;80;2006;522;813;522;423;2179;0;Comedy
Identity;51475962;30000000;91;2003;446;1000;872;660;3969;0;Terror
Identity Thief;134455175;35000000;120;2013;91;4000;904;680;5826;2;Comedy
Idlewild;12549485;15000000;121;2006;16;907;585;526;3633;4;Drama
If I Stay;50461335;11000000;107;2014;15;17000;1000;602;20466;3;Drama
I'm Not There,;4001121;20000000;135;2007;162;23000;13000;228;36398;0;Drama
In the Bedroom;35918429;1700000;138;2001;143;1000;874;783;3970;1;Drama
Independence Day: Resurgence;102315545;165000000;120;2016;776;890;812;535;3233;0;Action
Indiana Jones and the Kingdom of the Crystal Skull;317011114;185000000;122;2008;14000;11000;1000;1000;14959;2;Action
Infamous;1150403;13000000;118;2006;41;2000;812;442;3474;4;Drama
Inside Llewyn Davis;13214255;11000000;104;2013;1000;3000;275;272;4082;1;Drama
Insidious;53991137;1500000;103;2010;0;852;618;588;3030;1;Terror
Insidious: Chapter 2;83574831;5000000;106;2013;0;852;618;482;2975;0;Terror
Interview with the Assassin;47329;750000;88;2002;168;108;72;21;243;0;Drama
Intolerable Cruelty;35096190;60000000;100;2003;0;436;399;210;1395;1;Comedy
Invictus;37479778;60000000;134;2009;16000;13000;11000;204;24458;1;Drama
Ira & Abby;220234;3500000;101;2006;0;827;729;681;3574;3;Comedy
Iron Man;318298180;140000000;126;2008;4000;21000;12000;4000;39252;3;Action
Iron Man 2;312057433;200000000;124;2010;4000;21000;19000;4000;48638;4;Action
Iron Man 3;408992272;200000000;195;2013;1000;21000;4000;3000;30426;3;Action
Isn't She Great;2954405;36000000;95;2000;31;944;886;450;2928;0;Comedy
It Follows;14673301;2000000;100;2014;421;314;189;159;1062;0;Terror
J, Edgar;37304950;35000000;137;2011;16000;29000;6000;363;36258;0;Drama
Jack and Jill;74158157;79000000;91;2011;221;14000;11000;553;27405;2;Comedy
Jack the Giant Slayer;65171860;195000000;114;2013;0;979;557;140;1766;1;Action
Jackass: The Movie;64267897;5000000;87;2002;79;608;362;218;1770;0;Comedy
Jay and Silent Bob Strike Back;30059386;22000000;104;2001;0;8000;1000;898;11632;5;Comedy
Jeepers Creepers II;35143332;17000000;104;2003;108;296;270;177;1340;0;Terror
Jersey Boys;47034272;40000000;134;2014;16000;880;413;235;2281;1;Drama
Joe;371897;4000000;117;2013;234;12000;1000;221;13607;2;Drama
John Carter;73058679;263700000;132;2012;475;640;632;530;1873;1;Action
Johnson Family Vacation;31179516;12000000;97;2004;4;1000;1000;826;5006;5;Comedy
Journey to the Center of the Earth;101702060;45000000;93;2008;40;14000;3000;311;17925;0;Action
Joy Ride;21973182;23000000;97;2001;131;23000;81;62;23242;2;Terror
Joyful Noise;30920167;25000000;118;2012;650;1000;773;715;3389;4;Comedy
Julie & Julia;94125426;40000000;123;2009;0;11000;935;923;13321;2;Drama
Jupiter Ascending;47375327;176000000;127;2015;0;17000;15000;13000;47334;1;Action
Just Go with It;103028109;80000000;117;2011;221;11000;3000;503;16325;1;Comedy
Just Like Heaven;48291624;58000000;95;2005;70;970;834;512;2876;1;Comedy
Just Married;56127162;18000000;95;2003;189;500;308;306;2020;2;Comedy
Just My Luck;17324744;28000000;103;2006;80;806;591;585;3211;3;Comedy
Kate & Leopold;47095453;48000000;123;2001;446;20000;1000;821;22209;1;Comedy
Kevin Hart: Let Me Explain;32230907;2500000;75;2013;15;1000;309;36;1385;0;Comedy
Kicking & Screaming;52580895;45000000;95;2005;58;14000;8000;3000;27351;1;Comedy
Kill Bill: Vol, 1;70098138;30000000;111;2003;16000;926;890;640;3983;0;Action
Killing Them Softly;14938570;15000000;97;2012;181;11000;820;748;14025;1;Terror
King's Ransom;4006906;15000000;95;2005;2;927;912;807;4990;7;Comedy
Kinsey;10214647;11000000;118;2004;386;14000;1000;812;17490;0;Drama
Kiss the Bride;31937;500000;100;2007;6;396;326;325;2310;3;Comedy
Kit Kittredge: An American Girl;17655201;10000000;101;2008;22;918;624;558;3317;1;Drama
Knocked Up;148734225;30000000;133;2007;0;11000;985;529;12874;2;Comedy
L!fe Happens;20186;930000;100;2011;28;945;756;501;2924;8;Comedy
L,I,E,;1141829;700000;97;2001;52;80;67;36;209;1;Drama
Labor Day;13362308;18000000;111;2013;655;24000;14000;405;39307;1;Drama
Lara Croft Tomb Raider: The Cradle of Life;65653758;95000000;117;2003;101;18000;11000;3000;33154;1;Action
Larry the Cable Guy: Health Inspector;15655665;4000000;89;2006;0;690;400;323;2135;2;Comedy
Last Vegas;63910583;28000000;105;2013;226;22000;11000;966;35694;2;Comedy
Leap Year;12561;19000000;100;2010;14;3000;547;356;4094;2;Comedy
Lee Daniels' The Butler;116631310;30000000;132;2013;304;15000;1000;898;20035;0;Drama
Legally Blonde;95001351;18000000;96;2001;126;2000;788;584;4380;1;Comedy
"Legally Blonde 2: Red; White & Blonde";89808372;45000000;95;2003;0;934;655;643;3500;2;Comedy
Les Misérables;148775460;61000000;158;2012;0;20000;13000;11000;46204;1;Drama
Let's Be Cops;82389560;17000000;104;2014;42;839;756;613;3627;1;Comedy
Letters to God;2848578;3500000;110;2010;13;439;399;221;1567;0;Drama
License to Wed;43792641;35000000;91;2007;42;49000;838;766;52566;3;Comedy
Life as a House;15561627;18000000;125;2001;34;16000;4000;1000;21622;0;Drama
Life or Something Like It;14448589;40000000;103;2002;65;11000;944;311;12566;2;Comedy
Lights Out;56536016;4900000;81;2016;26;2000;509;300;3344;0;Terror
Like Mike;51432423;30000000;99;2002;13;1000;889;837;3679;7;Comedy
Lincoln;182204440;65000000;150;2012;14000;23000;826;655;25517;0;Drama
Little Children;5459824;26000000;137;2006;143;14000;617;280;15337;0;Drama
Little Fockers;148383780;100000000;98;2010;80;22000;713;708;24082;10;Comedy
Little Nicky;39442871;80000000;90;2000;65;11000;11000;658;25190;0;Comedy
Littleman;58255287;64000000;98;2006;322;979;862;723;6334;1;Comedy
Lords of Dogtown;11008432;25000000;107;2005;308;13000;947;872;16651;0;Drama
Loser;15464026;20000000;98;2000;143;302;216;153;1189;2;Comedy
Lost in Translation;44566004;4000000;101;2003;0;19000;13000;11;32015;0;Drama
Love & Basketball;27441122;15000000;124;2000;107;1000;886;865;5135;0;Drama
Love Happens;22927390;18000000;109;2009;7;2000;980;827;4947;0;Drama
Love in the Time of Cholera;4584886;45000000;139;2007;179;267;202;50;538;0;Drama
Love the Coopers;26284475;17000000;107;2015;24;10000;566;85;10691;13;Comedy
"Lovely; Still";124720;5000000;90;2008;6;3000;1000;940;4987;0;Drama
Lucky You;5755286;55000000;124;2007;161;21000;3000;681;26334;1;Drama
Luminarias;428535;1000000;100;2000;0;844;625;268;2289;1;Comedy
Made of Honor;46012734;40000000;101;2008;10;1000;689;681;4298;2;Comedy
Maleficent;241407328;180000000;97;2014;171;11000;2000;846;15516;2;Action
Malibu's Most Wanted;34308901;16000000;86;2003;14;833;807;685;4435;3;Comedy
Mamma Mia!;143704210;52000000;108;2008;58;14000;11000;838;26002;1;Comedy
Man of Steel;291021565;225000000;143;2013;0;15000;3000;748;20495;0;Action
Marci X;1646664;20000000;80;2003;121;836;624;587;2467;2;Comedy
Margaret;46495;14000000;186;2011;50;13000;1000;338;14638;1;Drama
Marie Antoinette;15962471;40000000;123;2006;0;4000;887;826;7243;1;Drama
Marmaduke;33643461;50000000;87;2010;9;15000;2000;1000;20061;0;Comedy
Married Life;1506998;12000000;91;2007;60;60;46;18;141;4;Drama
Martin Lawrence Live: Runteldat;19184015;3000000;113;2002;9;71;65;12;159;1;Comedy
Max;42652003;20000000;111;2015;132;1000;465;455;2851;0;Action
Max Keeble's Big Move;17292381;12000000;91;2001;25;833;626;611;4551;0;Comedy
"McFarland; USA";44469602;17000000;129;2015;51;427;234;89;952;0;Drama
"Me; Myself & Irene";90567722;51000000;116;2000;101;889;624;79;1711;1;Comedy
Mean Creek;603943;500000;90;2004;9;710;634;595;2655;0;Drama
Mean Girls;86049418;17000000;97;2004;70;2000;1000;625;5032;4;Comedy
Meet the Fockers;279167575;80000000;106;2004;116;22000;713;708;24938;6;Comedy
Meet the Parents;166225040;55000000;108;2000;116;22000;713;708;24286;2;Comedy
Meet the Spartans;38232624;30000000;86;2008;82;869;759;362;3854;0;Comedy
Memento;25530884;9000000;113;2000;22000;716;651;379;1997;0;Terror
Memoirs of a Geisha;57010853;85000000;145;2005;252;879;691;210;2380;1;Drama
Men of Honor;48814909;32000000;129;2000;88;22000;9000;975;36069;0;Drama
Mi America;3330;2100000;125;2015;7;128;22;17;214;0;Drama
Milk;31838002;20000000;128;2008;835;11000;896;755;13189;1;Drama
Million Dollar Arm;36447959;25000000;124;2014;44;4000;774;367;6393;0;Drama
Million Dollar Baby;100422786;30000000;132;2004;16000;16000;11000;567;28830;1;Drama
Mindhunters;4476235;27000000;101;2004;212;1000;968;749;4186;0;Terror
Miracle;64371181;28000000;135;2004;149;639;617;250;1845;0;Drama
Miracles from Heaven;61693523;13000000;109;2016;36;3000;3000;579;7833;0;Drama
Mirrors;30691439;35000000;112;2008;192;1000;915;844;3185;0;Terror
Miss March;4542775;6000000;90;2009;138;373;308;263;1831;2;Comedy
Moms' Night Out;10429707;5000000;98;2014;10;589;416;402;2705;6;Comedy
Mona Lisa Smile;63695760;65000000;117;2003;179;8000;4000;403;12850;1;Drama
Moneyball;75605492;50000000;133;2011;152;22000;18000;11000;53094;1;Drama
Monkeybone;5409517;75000000;93;2001;253;3000;889;637;5580;0;Comedy
Monster's Ball;31252964;4000000;112;2001;395;13000;595;80;13707;1;Drama
Moonlight Mile;6830957;21000000;112;2002;52;15000;1000;347;16692;3;Drama
Mother and Child;1110286;4825000;125;2009;127;6000;941;798;8876;6;Drama
Moulin Rouge!;57386369;52500000;127;2001;1000;1000;691;653;2601;1;Drama
Movie 43;8828771;6000000;94;2013;0;20000;14000;3000;41059;10;Comedy
Mr, Deeds;126203320;50000000;96;2002;65;12000;11000;828;26826;1;Comedy
Mr, Popper's Penguins;68218041;55000000;94;2011;70;1000;549;497;2820;1;Comedy
Mud;21589307;10000000;130;2012;337;11000;1000;820;13960;1;Drama
Murder by Numbers;31874869;50000000;115;2002;58;33000;455;401;34606;0;Terror
Must Love Dogs;43894863;30000000;98;2005;30;944;940;664;4879;2;Comedy
My Best Friend's Girl;19151864;40000000;112;2008;41;1000;500;490;3301;3;Comedy
My Big Fat Greek Wedding;241437427;5000000;95;2002;38;567;312;249;1495;3;Comedy
My Big Fat Greek Wedding 2;59573085;18000000;94;2016;52;567;312;261;2259;10;Comedy
My Bloody Valentine;51527787;15000000;101;2009;71;10000;960;725;14159;0;Terror
My Boss's Daughter;15549702;14000000;90;2003;119;869;779;636;3007;2;Comedy
My Dog Skip;34099640;5000000;95;2000;13;1000;934;430;2515;0;Drama
My Life in Ruins;8662318;17000000;98;2009;80;567;503;399;2016;1;Comedy
My Name Is Bruce;173066;1500000;84;2007;0;634;328;158;1238;1;Comedy
My Sister's Keeper;49185998;30000000;109;2009;415;673;489;228;1775;2;Drama
My Soul to Take;14637490;25000000;107;2010;0;798;374;255;2537;2;Terror
Nanny McPhee;47124400;25000000;97;2005;52;14000;2000;579;17278;0;Comedy
Napoleon Dynamite;44540956;400000;92;2004;100;970;759;482;3950;0;Comedy
Neighbors;150056505;18000000;97;2014;89;920;798;329;2771;3;Comedy
Neighbors 2: Sorority Rising;55291815;35000000;92;2016;89;17000;329;190;17860;0;Comedy
Never Again;295468;500000;98;2001;71;22000;1000;658;24382;1;Comedy
New in Town;16699684;8000000;97;2009;3;24000;827;631;25792;1;Comedy
New Year's Eve;54540525;56000000;113;2011;0;22000;988;307;23456;15;Comedy
New York Minute;14018364;30000000;91;2004;29;976;799;762;3974;1;Comedy
Next Friday;57176582;9500000;98;2000;41;723;706;525;3939;1;Comedy
Nine;19673424;80000000;118;2009;252;529;48;30;619;4;Drama
No Good Deed;52543632;13200000;84;2014;12;1000;345;334;2297;2;Terror
No Strings Attached;70625986;25000000;108;2011;425;20000;962;766;22739;1;Comedy
North Country;18324242;35000000;126;2005;51;10000;9000;874;20563;4;Drama
Northfork;1420578;1900000;103;2003;35;548;495;482;2389;0;Drama
Not Another Teen Movie;37882551;16000000;99;2001;11;11000;983;971;15369;0;Comedy
Not Cool;35688;600000;93;2014;247;247;217;152;954;4;Comedy
Not Easily Broken;10572742;8000000;99;2009;1000;849;578;409;2269;1;Drama
Now You See Me;117698894;75000000;125;2013;255;11000;988;963;13312;6;Terror
Ocean's Eleven;183405771;85000000;116;2001;0;11000;1000;471;13028;4;Terror
Ocean's Thirteen;117144465;85000000;122;2007;0;14000;13000;11000;43499;3;Terror
Ocean's Twelve;125531634;110000000;125;2004;0;11000;8000;350;19359;0;Terror
Oculus;27689474;5000000;104;2013;59;972;407;202;2071;0;Terror
Old Dogs;49474048;35000000;88;2009;12;49000;1000;931;53370;2;Comedy
Old School;74608545;24000000;88;2003;480;8000;909;497;10325;4;Comedy
On the Line;4356743;16000000;85;2001;49;719;405;401;2446;2;Comedy
One Day;13766014;15000000;107;2011;92;11000;5000;358;17627;0;Drama
One Night with the King;13391174;20000000;123;2006;6;541;249;85;908;0;Drama
Open Range;58328680;22000000;139;2003;0;3000;693;648;5458;0;Drama
Ouija;50820940;5000000;89;2014;10;852;707;704;5056;0;Terror
Our Family Wedding;20246959;14000000;103;2010;44;953;849;625;3299;2;Comedy
Out Cold;13903262;11000000;89;2001;2;799;711;651;4291;0;Comedy
Over Her Dead Body;7563670;10000000;95;2008;4;939;702;655;3651;0;Comedy
Oz the Great and Powerful;234903076;215000000;130;2013;0;44000;15000;11000;73441;4;Action
P,S, I Love You;53680848;30000000;126;2007;98;18000;631;37;18726;1;Drama
Pacific Rim;101785482;190000000;131;2013;0;16000;968;919;19166;0;Action
Pan;34964818;150000000;111;2015;456;20000;548;394;21393;4;Action
Paranormal Activity 2;84749884;3000000;98;2010;21;438;332;189;1081;0;Terror
Paranormal Activity 3;104007828;5000000;94;2011;24;581;438;434;2371;0;Terror
Paranormal Activity 4;53884821;5000000;96;2012;24;235;119;113;799;0;Terror
Paranormal Activity: The Marked Ones;32453345;5000000;101;2014;52;510;358;332;2161;0;Terror
Parental Guidance;77264926;25000000;105;2012;99;3000;448;433;5740;5;Comedy
Pathology;108662;8000000;95;2008;3;905;513;448;3185;0;Terror
Pay It Forward;33508922;40000000;123;2000;75;18000;3000;754;23920;2;Drama
Peeples;9123834;15000000;95;2013;24;931;539;426;3322;6;Comedy
Percy Jackson: Sea of Monsters;68558662;90000000;106;2013;87;8000;956;918;10882;0;Action
Phat Girlz;7059537;3000000;99;2006;18;939;407;233;2321;0;Comedy
Phone Booth;46563158;13000000;81;2002;541;991;465;328;2562;0;Terror
Pirates of the Caribbean: At World's End;309404152;300000000;169;2007;563;40000;5000;1000;48350;0;Action
Pirates of the Caribbean: Dead Man's Chest;423032628;225000000;151;2006;563;40000;5000;1000;48486;2;Action
Pirates of the Caribbean: On Stranger Tides;241063875;250000000;136;2011;252;40000;11000;1000;54083;4;Action
Pirates of the Caribbean: The Curse of the Black Pearl;305388685;140000000;143;2003;563;40000;5000;1000;48184;3;Action
Pitch Perfect;64998368;17000000;112;2012;36;10000;751;746;12676;4;Comedy
Pitch Perfect 2;183436380;29000000;115;2015;0;10000;1000;751;13159;8;Comedy
Playing for Keeps;13101142;35000000;105;2012;125;18000;2000;2000;23122;5;Comedy
Pollock;8596914;6000000;122;2000;0;697;394;221;1517;0;Drama
Post Grad;6373693;15000000;88;2009;96;24000;971;360;25637;1;Comedy
Precious;47536959;10000000;109;2009;304;940;906;736;3277;0;Drama
Prince of Persia: The Sands of Time;90755643;200000000;116;2010;179;15000;567;236;16149;2;Action
Princess Kaiulani;883887;9000000;97;2009;3;679;537;204;1426;3;Drama
Project X;54724272;12000000;93;2012;166;971;329;281;2043;0;Comedy
Prom Night;43818159;20000000;89;2008;29;2000;690;458;4867;0;Terror
Promised Land;7556708;15000000;106;2012;835;13000;826;363;14544;1;Drama
Public Enemies;97030725;100000000;140;2009;0;40000;23000;1000;64599;1;Drama
Rabbit Hole;2221809;5000000;91;2010;263;967;289;192;1582;0;Drama
Radio;52277485;35000000;109;2003;19;1000;762;568;4231;1;Drama
Ratatouille;206435493;150000000;111;2007;663;1000;1000;954;4764;0;Comedy
Ray;75305995;40000000;178;2004;138;904;876;748;5074;0;Drama
Ready to Rumble;12372410;24000000;107;2000;48;1000;957;940;4971;1;Comedy
Red Eye;57859105;26000000;85;2005;0;332;285;178;1090;0;Terror
Red Riding Hood;37652565;42000000;100;2011;308;10000;2000;913;15369;2;Terror
Redacted;65087;5000000;90;2007;0;343;29;15;408;0;Terror
Redbelt;2344847;7000000;99;2008;342;1000;518;501;2158;0;Drama
Reign Over Me;19661987;20000000;124;2007;57;11000;3000;905;17050;2;Drama
Religulous;12995673;2500000;101;2008;119;334;4;0;338;1;Comedy
Remember Me;19057024;16000000;113;2010;47;21000;541;238;22088;0;Drama
Remember the Titans;115648585;30000000;120;2000;132;33000;18000;1000;54877;1;Drama
Reno 911!: Miami;20339754;10000000;84;2007;134;655;651;307;2737;2;Comedy
Rent;29077547;40000000;135;2005;0;3000;1000;715;5917;1;Drama
Requiem for a Dream;3609278;4500000;102;2000;0;1000;1000;167;2235;0;Drama
Resurrecting the Champ;3169424;13000000;112;2007;37;748;573;548;2417;1;Drama
Revolutionary Road;22877808;35000000;119;2008;0;29000;14000;10000;53895;0;Drama
Road Hard;105943;1500000;98;2015;102;563;485;360;2628;0;Comedy
Road Trip;68525609;15600000;94;2000;480;1000;490;486;3889;5;Comedy
Rock Star;16991902;57000000;105;2001;65;628;316;108;1265;0;Drama
Rocky Balboa;70269171;24000000;139;2006;13000;13000;683;461;15111;0;Drama
Rollerball;18990542;70000000;98;2002;323;1000;841;390;2763;3;Action
Rosewater;3093491;5000000;103;2014;593;374;362;241;1283;0;Drama
Runner Runner;19316646;30000000;88;2013;65;3000;697;681;5706;3;Terror
Save the Last Dance;91038276;13000000;112;2001;49;656;363;237;1307;0;Drama
Saving Silverman;19351569;22000000;96;2001;221;240;226;110;664;1;Comedy
Saw;55153403;1200000;103;2004;0;2000;878;651;5161;0;Terror
Saw II;87025093;4000000;95;2005;163;1000;654;651;4134;0;Terror
Saw III;80150343;10000000;121;2006;163;723;651;482;3189;0;Terror
Saw IV;63270259;10000000;96;2007;163;723;651;448;3492;0;Terror
Saw V;56729973;10800000;95;2008;43;3000;723;357;5286;0;Terror
Say It Isn't So;5516708;25000000;95;2001;6;849;841;248;2413;2;Comedy
Scary Movie 2;71277420;45000000;83;2001;322;1000;422;179;1645;7;Comedy
Scary Movie 3;110000082;48000000;84;2003;119;807;780;750;3629;7;Comedy
Scary Movie 4;90703745;45000000;89;2006;119;2000;869;807;5855;8;Comedy
Scary Movie 5;32014289;20000000;88;2013;92;31000;881;636;34319;8;Comedy
School for Scoundrels;17803796;20000000;108;2006;480;970;931;579;4374;1;Comedy
School of Rock;81257845;35000000;108;2003;0;2000;931;487;4403;1;Comedy
Scream 3;89138076;40000000;116;2000;0;287;157;71;600;4;Terror
Scream 4;38176892;40000000;111;2011;0;2000;741;687;4486;0;Terror
Screwed;6982680;10000000;81;2000;25;931;744;654;3848;0;Comedy
Seabiscuit;120147445;87000000;140;2003;378;12000;947;599;13808;0;Drama
Secret Window;47781388;40000000;96;2004;192;40000;534;501;41293;1;Terror
Secretariat;59699513;35000000;123;2010;130;826;638;426;2259;0;Drama
Semi-Pro;33472850;55000000;99;2008;3;8000;509;490;10026;3;Comedy
Serendipity;49968653;28000000;82;2001;23;11;9;6;37;0;Comedy
Session 9;373967;1500000;100;2001;122;210;148;83;469;0;Terror
Seven Pounds;69951824;55000000;123;2008;125;10000;3000;835;14727;1;Drama
Seventh Son;17176900;95000000;102;2014;44;12000;3000;766;17098;4;Action
Sex Tape;38543473;40000000;94;2014;52;683;392;214;1488;2;Comedy
Shade;10696;6800000;101;2003;0;240;83;83;490;8;Terror
Shark Night 3D;18860403;25000000;90;2011;160;963;936;852;4952;0;Terror
Shattered Glass;2207975;6000000;99;2003;53;4000;3000;491;8297;0;Drama
Sherrybaby;198407;2000000;96;2006;38;363;223;85;774;1;Drama
She's Out of My League;31584722;20000000;104;2010;14;2000;934;756;5707;1;Comedy
She's the Man;33687630;20000000;105;2006;99;17000;1000;960;20109;0;Comedy
Shorts;20916309;40000000;89;2009;0;87000;570;470;88422;4;Comedy
Shutter;25926543;8000000;90;2008;5;449;332;297;1534;1;Terror
Shutter Island;127968405;80000000;138;2010;17000;29000;223;163;29585;0;Terror
Sicko;24530513;9000000;123;2007;909;909;203;184;1633;1;Drama
Sin City;74098862;40000000;147;2005;436;3000;472;175;3924;1;Terror
Sinister;48056940;3000000;110;2012;301;1000;419;412;2239;0;Terror
Sinister 2;27736779;10000000;97;2015;11;1000;412;220;2403;0;Terror
Sleepover;8070311;10000000;89;2004;18;7000;2000;2000;13626;9;Comedy
Small Time Crooks;17071230;18000000;94;2000;11000;11000;11000;975;23283;0;Comedy
Someone Like You,,,;27338033;23000000;97;2001;956;20000;551;99;20798;3;Comedy
Son of God;59696176;22000000;170;2014;25;329;134;55;775;1;Drama
Son of the Mask;17010646;84000000;94;2005;6;490;294;227;1195;0;Comedy
Song One;20200;6000000;86;2014;4;11000;485;444;12772;1;Drama
Songcatcher;3050934;1800000;109;2000;9;767;380;280;2187;1;Drama
Sorority Boys;10198766;12000000;93;2002;32;529;526;503;2393;3;Comedy
Sorority Row;11956207;16000000;101;2009;10;1000;668;472;3142;2;Terror
Soul Plane;13922211;16000000;92;2004;29;939;881;618;3935;9;Comedy
Soul Surfer;43853424;18000000;106;2011;80;2000;795;723;5024;1;Drama
Southpaw;52418902;30000000;124;2015;845;15000;1000;424;16881;0;Drama
Sparkle;24397469;17000000;116;2012;70;1000;876;706;5804;7;Drama
Speed Racer;43929341;120000000;135;2008;0;690;107;87;902;0;Action
Spider-Man;403706375;139000000;121;2002;0;24000;11000;4000;40484;0;Action
Spider-Man 2;373377893;200000000;135;2004;0;24000;11000;4000;43388;1;Action
Spider-Man 3;336530303;258000000;156;2007;0;24000;11000;4000;46055;0;Action
Spotlight;44988180;20000000;128;2015;310;745;168;77;1058;2;Drama
Spring Breakers;14123773;5000000;94;2012;520;11000;892;192;12306;4;Drama
Star Trek;257704099;150000000;127;2009;14000;26000;12000;981;39284;0;Action
Star Trek Into Darkness;228756232;190000000;132;2013;14000;19000;981;928;21411;0;Action
Star Wars: Episode II - Attack of the Clones;310675583;115000000;142;2002;0;20000;16000;4000;42990;3;Action
