movietitle;gross;budget;duration;titleyear;directorfl;actor1fl;actor2fl;actor3fl;castfl;facenumber_in_poster;genre
Star Wars: Episode III - Revenge of the Sith;380262555;113000000;140;2005;0;20000;16000;4000;44042;4;Action
Starsky & Hutch;88200225;60000000;101;2004;480;881;869;767;3943;5;Comedy
Stay Alive;23078294;9000000;75;2006;19;1000;934;806;3590;0;Terror
Stealing Harvard;13973532;25000000;85;2002;54;985;637;455;3065;1;Comedy
Step Brothers;100468793;65000000;106;2008;285;8000;3000;105;11264;2;Comedy
Step Up;65269010;12000000;104;2006;98;17000;2000;920;21380;0;Drama
Step Up 2: The Streets;58006147;23000000;98;2008;209;158;152;129;816;2;Drama
Step Up 3D;42385520;30000000;107;2010;209;2000;594;357;4059;0;Drama
Step Up Revolution;35057332;33000000;99;2012;35;3000;594;433;4863;0;Drama
Still Alice;18656400;5000000;101;2014;25;17000;2000;423;19673;1;Drama
Stolen Summer;119841;1500000;91;2002;18;954;767;597;3901;1;Drama
Stomp the Yard;61356221;14000000;109;2007;41;997;826;748;3544;0;Drama
Stonewall;186354;13500000;129;2015;776;25000;463;256;26176;0;Drama
Stop-Loss;10911750;25000000;112;2008;108;23000;17000;2000;43560;2;Drama
Straight Outta Compton;161029270;28000000;167;2015;473;559;427;303;2702;0;Drama
Stuck on You;33828318;55000000;118;2003;101;13000;390;327;14036;2;Comedy
Sucker Punch;36381716;82000000;128;2011;0;4000;2000;826;7067;4;Action
Sunshine State;3064356;5600000;141;2002;407;688;659;501;2584;6;Drama
Superbad;121463226;20000000;119;2007;99;15000;833;778;17584;2;Comedy
Superman Returns;200069408;209000000;169;2006;0;18000;10000;903;29991;0;Action
"Surfer; Dude";36497;6000000;85;2008;0;11000;826;499;14599;0;Comedy
Surf's Up;58867694;100000000;85;2007;9;12000;11000;970;25590;0;Comedy
Survival of the Dead;101055;4000000;90;2009;0;648;529;231;1951;0;Terror
Sweet Home Alabama;127214072;38000000;108;2002;72;982;935;559;4251;1;Comedy
Sweet November;25178165;40000000;119;2001;7;18000;9000;903;29484;1;Drama
Sydney White;11702090;16500000;108;2007;18;714;701;433;2785;2;Comedy
Take the Lead;34703228;30000000;118;2006;3;1000;712;439;3797;0;Drama
Tammy;84518155;20000000;100;2014;265;989;830;265;2654;0;Comedy
Tanner Hall;5005;3000000;96;2009;15;433;396;357;1929;2;Drama
Teacher's Pet;6491350;10000000;74;2004;0;886;808;719;5139;0;Comedy
Ted;218628680;50000000;112;2012;3000;15000;3000;1000;21773;1;Comedy
Ted 2;81257500;68000000;125;2015;3000;14000;11000;3000;30010;0;Comedy
Terminator 3: Rise of the Machines;150350192;200000000;109;2003;84;648;284;191;1769;0;Action
Terminator Genisys;89732035;155000000;126;2015;230;24000;10000;2000;38873;2;Action
Terminator Salvation;125320003;200000000;118;2009;368;23000;3000;988;27468;0;Action
Texas Chainsaw 3D;34334256;11000000;92;2013;34;383;333;322;1945;0;Terror
That Awkward Moment;26049082;8000000;94;2014;19;363;342;117;1024;3;Comedy
That's My Boy;36931089;70000000;116;2012;51;11000;3000;622;16484;2;Comedy
The 40-Year-Old Virgin;109243478;26000000;133;2005;0;7000;966;218;8341;1;Comedy
The 5th Quarter;399611;6000000;90;2010;11;767;529;316;2370;2;Drama
The Adventures of Sharkboy and Lavagirl 3-D;39177541;50000000;93;2005;0;12000;722;717;14899;1;Action
The Age of Adaline;42478175;25000000;112;2015;43;11000;2000;1000;15327;1;Drama
The Alamo;22406362;107000000;137;2004;102;2000;973;877;5780;0;Drama
The Amazing Spider-Man;262030663;230000000;153;2012;464;15000;10000;963;28489;0;Action
The Amazing Spider-Man 2;202853933;200000000;142;2014;464;15000;10000;825;28631;0;Action
The Apparition;4930798;17000000;83;2012;57;465;152;62;730;1;Terror
The Assassination of Jesse James by the Coward Robert Ford;3904982;30000000;160;2007;181;11000;10000;820;22516;0;Drama
The Avengers;623279547;220000000;173;2012;0;26000;21000;19000;87697;3;Action
The Aviator;102608827;110000000;170;2004;17000;29000;3000;827;34582;0;Drama
The Back-up Plan;37481242;35000000;104;2010;16;1000;700;584;3356;0;Comedy
The Ballad of Jack and Rose;712294;1500000;112;2005;58;552;265;42;859;1;Drama
The Beaver;958319;21000000;91;2011;0;34000;242;220;34705;0;Drama
The Believer;406035;1500000;98;2001;21;33000;243;76;33441;0;Drama
The Benchwarmers;57651794;33000000;75;2006;221;11000;970;553;13125;2;Comedy
The Best of Me;26761283;26000000;118;2014;97;775;523;437;3197;0;Drama
The Big Bounce;6471394;50000000;88;2004;5;11000;387;338;11972;5;Comedy
The Big Wedding;21784432;35000000;89;2013;16;49000;22000;2000;74181;8;Comedy
The Big Year;7204138;41000000;100;2011;64;734;574;296;2085;0;Comedy
The Blind Side;255950375;29000000;129;2009;102;768;734;624;3389;0;Drama
"The Book of Mormon Movie; Volume 1: The Journey";1098224;2000000;120;2003;0;178;69;40;359;1;Action
The Book Thief;21483154;19000000;131;2013;33;876;526;326;1985;1;Drama
The Boss;63034755;29000000;99;2016;265;22000;779;265;23562;1;Comedy
The Boy;35794166;10000000;97;2016;19;4000;334;130;4687;0;Terror
The Boy Next Door;35385560;4000000;91;2015;357;3000;465;326;4807;1;Terror
The Brothers Solomon;900926;10000000;93;2007;0;966;799;622;3307;2;Comedy
The Brown Bunny;365734;10000000;93;2003;787;787;96;0;883;0;Drama
The Cabin in the Woods;42043633;30000000;95;2012;246;26000;821;751;29551;0;Terror
The Call;51872378;13000000;94;2013;122;873;461;383;2812;0;Terror
The Campaign;86897182;95000000;85;2012;116;8000;331;329;9271;0;Comedy
The Change-Up;37035845;52000000;118;2011;71;16000;10000;634;28045;2;Comedy
The Chronicles of Narnia: Prince Caspian;141614023;225000000;150;2008;80;22000;216;201;22697;4;Action
"The Chronicles of Narnia: The Lion; the Witch and the Wardrobe";291709845;180000000;150;2005;80;1000;190;82;1317;5;Action
The Chronicles of Narnia: The Voyage of the Dawn Treader;104383624;155000000;113;2010;150;531;82;59;764;4;Action
The Conjuring;137387272;20000000;112;2013;0;6000;960;697;9049;0;Terror
The Conjuring 2;102310175;40000000;134;2016;0;1000;575;336;2676;0;Terror
The Conspirator;11538204;25000000;122;2010;0;18000;1000;939;21163;0;Drama
The Cooler;8243880;3200000;101;2003;47;658;636;407;3086;1;Drama
The Country Bears;16988996;35000000;88;2002;0;3000;968;939;8189;1;Comedy
The Crazies;39103378;20000000;101;2010;42;991;894;219;2609;0;Terror
The Crew;13019253;23000000;88;2000;12;327;281;249;1509;4;Comedy
The Curious Case of Benjamin Button;127490802;150000000;166;2008;21000;11000;1000;919;13333;2;Drama
The Da Vinci Code;217536138;125000000;174;2006;2000;15000;574;362;16008;2;Terror
The Devil Inside;53245055;1000000;83;2012;19;403;169;128;988;0;Terror
The Devil's Rejects;16901126;7000000;109;2005;0;1000;649;597;3544;0;Terror
The Diary of a Teenage Girl;1477002;2000000;102;2015;22;10000;1000;80;11184;3;Drama
The Dictator;59617068;65000000;99;2012;119;600;346;174;1375;0;Comedy
The DUFF;34017854;8500000;101;2015;17;35000;966;429;36892;4;Comedy
The Emperor's Club;14060950;12500000;109;2002;97;13000;795;355;14347;1;Drama
The Express;9589875;40000000;130;2008;39;2000;898;534;5162;0;Drama
The Extra Man;453079;7000000;108;2010;30;474;403;281;2029;4;Comedy
The Eye;31397498;12000000;92;2008;0;17000;527;451;18765;1;Terror
The Fault in Our Stars;124868837;12000000;133;2014;131;8000;1000;733;10565;0;Drama
The Fighter;93571803;25000000;116;2010;737;23000;238;141;23811;2;Drama
The Final Destination;66466372;40000000;82;2009;160;164000;137000;748;303717;0;Terror
The Five-Year Engagement;28644770;30000000;131;2012;89;2000;401;372;3479;2;Comedy
The Forbidden Kingdom;25040293;55000000;104;2008;50;5000;962;947;7247;0;Action
The Forest;26583369;10000000;93;2016;4;533;35;4;578;1;Terror
The Forsaken;6755271;5000000;90;2001;23;847;591;560;3004;4;Terror
The Game of Their Lives;375474;20000000;101;2005;25;18000;723;407;20354;0;Drama
The Game Plan;90636983;22000000;110;2007;99;12000;941;835;15170;0;Comedy
The Gift;43771291;5000000;108;2015;0;1000;562;458;3215;1;Terror
The Golden Compass;70083519;180000000;113;2007;129;16000;6000;1000;24106;2;Action
The Good Girl;14015786;5000000;93;2002;44;15000;11000;596;27646;3;Drama
The Good Guy;100503;8000000;90;2009;0;806;690;617;3124;2;Comedy
The Great Debaters;30226144;15000000;126;2007;18000;18000;2000;697;22745;1;Drama
The Greatest;115862;6000000;96;2009;19;1000;943;71;2163;2;Drama
The Greatest Movie Ever Sold;638476;1500000;90;2011;293;16000;14000;808;32405;1;Comedy
The Grudge;110175871;10000000;98;2004;70;4000;1000;634;7461;0;Terror
The Grudge 2;39143839;20000000;137;2006;70;4000;884;464;5746;0;Terror
The Hammer;442638;850000;88;2007;0;465;140;102;897;1;Comedy
The Hangover;277313371;35000000;108;2009;480;14000;839;706;17623;3;Comedy
The Hangover Part II;254455986;80000000;102;2011;480;14000;670;461;16143;0;Comedy
The Hebrew Hammer;19539;1000000;87;2003;4;2000;1000;624;6227;1;Comedy
The Help;169705587;25000000;146;2011;150;15000;3000;2000;23227;2;Drama
The Hills Have Eyes;41777564;15000000;108;2006;192;1000;1000;580;4500;0;Terror
The Hills Have Eyes II;20801344;15000000;89;2007;7;919;557;399;2559;0;Terror
The Hobbit: An Unexpected Journey;303001229;180000000;182;2012;0;5000;972;773;9152;1;Action
The Hobbit: The Desolation of Smaug;258355354;225000000;186;2013;0;5000;972;773;9152;6;Action
The Holiday;63224849;85000000;138;2006;278;14000;3000;213;17423;3;Comedy
The Homesman;2428883;16000000;122;2014;0;883;596;567;2896;1;Drama
The Hours;41597830;25000000;114;2002;335;11000;577;530;12624;3;Drama
The House Bunny;48237389;25000000;97;2008;29;15000;852;816;18789;1;Comedy
The House of the Devil;100659;900000;95;2009;243;969;962;725;3833;0;Terror
The Hunger Games: Mockingjay - Part 2;281666058;160000000;137;2015;508;34000;22000;14000;81385;1;Action
The Iceman;1939441;10000000;106;2012;34;11000;11000;683;23187;1;Drama
The Ides of March;40962534;12500000;101;2011;0;33000;22000;1000;57077;1;Drama
The Immigrant;1984743;16000000;120;2013;115;10000;316;310;11019;3;Drama
The Incredible Burt Wonderstone;22525921;30000000;100;2013;35;12000;10000;7000;32094;4;Comedy
The Incredible Hulk;134518390;150000000;135;2008;255;3000;1000;882;5811;0;Action
The Innkeepers;77501;750000;101;2011;243;969;128;74;1252;0;Terror
The Internship;44665963;58000000;125;2013;189;1000;847;839;5081;2;Comedy
The Interview;6105175;44000000;112;2014;133;11000;392;365;12239;4;Comedy
The Invention of Lying;18439082;18500000;100;2009;0;3000;2000;985;7252;3;Comedy
The Judge;47105085;50000000;141;2014;71;21000;3000;3000;30183;1;Drama
The Kid;69688384;60000000;104;2000;226;13000;718;577;16452;1;Comedy
The Ladies Man;13592872;11000000;84;2000;71;8000;723;553;10982;1;Comedy
The Lake House;52320979;40000000;99;2006;18;18000;426;211;18693;0;Drama
The Last Airbender;131564731;150000000;103;2010;0;1000;756;346;2857;0;Action
The Last House on the Left;32721635;15000000;114;2009;29;956;878;616;3861;0;Terror
The Last Sin Eater;379643;2200000;117;2007;84;861;425;275;2161;0;Drama
The Last Song;62933793;20000000;107;2010;30;742;360;318;2341;1;Drama
The Last Witch Hunter;27356090;90000000;106;2015;42;14000;788;612;16922;0;Action
The League of Extraordinary Gentlemen;66462600;78000000;110;2003;45;1000;872;845;4714;3;Action
The Legend of Bagger Vance;30695227;60000000;126;2000;0;13000;10000;9000;34774;3;Drama
The Legend of Hercules;18821279;70000000;99;2014;212;576;358;182;1520;0;Action
The Living Wake;12055;500000;91;2007;0;472;185;170;1047;2;Comedy
The Lone Ranger;89289910;215000000;150;2013;563;40000;2000;1000;45757;1;Action
The Longest Ride;37432299;34000000;128;2015;88;989;970;954;3386;0;Drama
The Longest Yard;158115031;82000000;113;2005;88;11000;437;421;13693;11;Comedy
The Lost City;2483955;9600000;144;2005;0;786;228;195;1674;0;Drama
The Love Guru;32178777;62000000;87;2008;12;3000;966;645;6658;6;Comedy
The Lucky One;60443237;25000000;101;2012;96;713;220;204;1852;0;Drama
The Majestic;27796042;72000000;152;2001;0;940;826;745;4310;1;Drama
The Man with the Iron Fists;15608545;15000000;107;2012;561;746;561;353;2377;3;Action
The Master;16377274;32000000;144;2012;0;378;18;15;427;31;Drama
The Master of Disguise;40363530;16000000;80;2002;11;911;521;499;3058;2;Comedy
The Matrix Reloaded;281492479;150000000;138;2003;0;234;198;30;534;0;Action
The Men Who Stare at Goats;32416109;25000000;94;2009;293;18000;12000;939;32474;0;Comedy
The Merchant of Venice;3752725;18000000;131;2004;53;14000;871;548;16252;3;Drama
The Messenger;66637;6500000;105;2009;38;12000;712;706;14462;0;Drama
The Midnight Meat Train;73548;15000000;103;2008;129;14000;1000;1000;18639;0;Terror
The Mighty Macs;1889522;7000000;99;2009;2;1000;690;455;2589;2;Drama
The Missing Person;17580;1500000;95;2009;8;529;423;399;2749;3;Drama
The Mist;25592632;18000000;126;2007;0;2000;850;745;5371;0;Terror
The Monuments Men;78031620;70000000;118;2014;0;13000;13000;559;27674;7;Drama
The Mortal Instruments: City of Bones;31165421;60000000;130;2013;91;5000;2000;1000;10247;3;Terror
The Nativity Story;37617947;30000000;101;2006;308;446;224;206;966;0;Drama
The New Guy;28972187;13000000;92;2002;13;11000;489;301;12687;1;Comedy
The New World;12712093;30000000;150;2005;0;23000;909;855;27829;0;Drama
The Night Listener;7825820;4000000;81;2006;5;49000;780;710;50831;0;Terror
The Notebook;64286;29000000;123;2004;415;33000;638;545;34495;0;Drama
The Number 23;35063732;32000000;98;2007;541;8000;912;897;10938;1;Terror
The Oogieloves in the Big Balloon Adventure;1064277;20000000;88;2012;12;979;532;231;1978;0;Action
The Original Kings of Comedy;38168022;3000000;115;2000;0;1000;436;360;1964;0;Comedy
The Other Woman;83906114;40000000;109;2014;415;982;971;119;2357;2;Comedy
The Others;96471845;17000000;101;2001;448;482;203;83;956;0;Terror
The Perfect Man;16247775;25000000;100;2005;15;1000;962;804;4789;3;Comedy
The Perfect Match;9658370;5000000;96;2016;23;927;509;503;3552;6;Comedy
The Perks of Being a Wallflower;17738570;13000000;102;2012;139;8000;3000;850;13631;2;Drama
The Possession;49122319;14000000;92;2012;30;941;459;309;2348;0;Terror
The Princess and the Frog;104374107;105000000;97;2009;63;852;578;525;2480;0;Comedy
The Princess Diaries;108244774;37000000;111;2001;0;11000;995;529;13645;2;Comedy
The Princess Diaries 2: Royal Engagement;95149435;40000000;113;2004;0;11000;1000;995;15362;2;Comedy
The Producers;19377727;45000000;134;2005;38;11000;8000;2000;24351;3;Comedy
The Pursuit of Happyness;162586036;55000000;117;2006;125;10000;617;168;11036;0;Drama
The R,M,;1111615;500000;101;2003;0;69;34;17;155;0;Comedy
The Raven;16005978;26000000;110;2012;160;771;570;427;2356;1;Terror
The Reader;34180954;32000000;124;2008;335;14000;388;50;14504;0;Drama
The Reaping;25117498;40000000;99;2007;81;327;253;135;960;0;Terror
The Replacements;44737059;50000000;118;2000;41;18000;4000;585;24024;1;Comedy
The Rocker;6409206;15000000;102;2008;11;15000;14000;1000;33153;4;Comedy
The Rookie;75597042;20000000;127;2002;102;2000;1000;1000;6657;0;Drama
The Ruins;17427926;8000000;93;2008;27;960;664;49;1749;0;Terror
The Runaways;3571735;10000000;106;2010;50;17000;908;741;21711;2;Drama
The Santa Clause 2;139225854;60000000;104;2002;54;901;857;775;5265;0;Comedy
The Secret Life of Bees;37766350;11000000;110;2008;107;664;551;549;3376;5;Drama
The Shaggy Dog;61112916;50000000;98;2006;48;21000;936;722;24664;0;Comedy
The Shipping News;11405825;35000000;111;2001;529;18000;826;505;19805;3;Drama
The Skeleton Key;47806295;43000000;104;2005;34;545;351;280;1274;0;Terror
The Slaughter Rule;13134;500000;112;2002;12;33000;1000;699;35294;2;Drama
The Social Network;96917897;40000000;120;2010;21000;10000;349;81;10555;0;Drama
The Sorcerer's Apprentice;63143812;150000000;109;2010;226;12000;418;370;13388;0;Action
The Spiderwick Chronicles;71148699;90000000;107;2008;70;770;419;330;1614;0;Action
The Sweetest Thing;24430272;43000000;90;2002;16;44;28;16;132;3;Comedy
The Ten;766487;5250000;96;2007;136;4000;543;139;4883;4;Comedy
The Texas Chainsaw Massacre: The Beginning;39511038;16000000;83;2006;473;20000;4000;597;26402;0;Terror
The Time Machine;56684819;80000000;96;2002;25;891;639;102;1919;0;Action
The To Do List;3447339;1500000;104;2013;38;801;727;690;2667;7;Comedy
The Tree of Life;13303319;32000000;139;2011;0;11000;1000;687;13021;0;Drama
The Ugly Truth;88915214;38000000;96;2009;126;18000;957;954;22436;2;Comedy
The Vatican Tapes;1712111;8495000;91;2015;83;3000;1000;794;7875;0;Terror
The Virginity Hit;535249;3400000;86;2010;10;189;131;126;768;0;Comedy
The Visit;65069140;5000000;94;2015;0;432;309;99;1010;0;Terror
The Vow;125014030;30000000;104;2012;23;17000;359;281;18322;0;Drama
The Wash;10097096;4000000;93;2001;69;522;231;69;955;2;Comedy
The Watcher;28927720;33000000;97;2000;10;18000;223;178;18688;0;Terror
The Wedding Date;31585300;15000000;90;2005;6;1000;650;458;2666;0;Comedy
The Whole Nine Yards;57262492;24000000;98;2000;36;13000;2000;900;17582;4;Comedy
The Witch;25138292;3500000;92;2015;22;648;191;159;1122;0;Terror
The Work and the Glory;3347439;7500000;118;2004;0;373;266;249;1233;1;Drama
The Work and the Glory II: American Zion;2024854;6500000;100;2005;0;1000;373;266;1942;2;Drama
The Wrestler;26236603;6000000;109;2008;0;1000;245;120;1582;0;Drama
The Yellow Handkerchief;317040;15500000;102;2008;4;17000;13000;882;30978;1;Drama
The Young Messiah;6462576;18500000;111;2016;19;241;118;107;824;0;Drama
There Will Be Blood;40218903;25000000;158;2007;0;272;111;104;533;0;Drama
They;12693621;17000000;89;2002;11;1000;982;973;4060;0;Terror
Things We Lost in the Fire;2849142;16000000;118;2007;369;1000;418;295;1889;1;Drama
Think Like a Man;91547205;12000000;122;2012;167;997;966;807;5165;8;Comedy
Think Like a Man Too;65182182;24000000;106;2014;167;966;807;676;4830;8;Comedy
Thir13en Ghosts;41867960;20000000;91;2001;17;1000;795;670;3023;0;Terror
Thirteen;4599680;1500000;100;2003;308;1000;482;374;2186;2;Drama
Thirteen Conversations About One Thing;3287435;4500000;104;2001;11;11000;813;194;12250;2;Drama
This Is 40;67523385;35000000;134;2012;0;529;130;120;1050;2;Comedy
This Is the End;101470202;32000000;107;2013;133;17000;11000;9000;38751;6;Comedy
Thor;181015141;150000000;115;2011;0;26000;20000;12000;60059;1;Action
Thor: The Dark World;206360018;170000000;112;2013;230;26000;20000;12000;59803;3;Action
Tim and Eric's Billion Dollar Movie;200803;3000000;93;2012;78;536;317;197;1467;3;Comedy
Timeline;19480739;80000000;116;2003;503;23000;18000;982;43887;0;Action
To Rome with Love;16684352;17000000;112;2012;11000;385;223;159;1205;0;Comedy
To Save a Life;3773863;1000000;120;2009;3;984;801;234;2563;1;Drama
Tomcats;13558739;11000000;95;2001;5;1000;660;443;2729;0;Comedy
Top Five;25277561;12000000;102;2014;0;3000;966;555;5592;10;Comedy
Transformers;318759914;150000000;144;2007;0;662;599;581;2333;0;Action
Transformers: Age of Extinction;245428137;210000000;165;2014;0;974;956;808;3988;2;Action
Transformers: Dark of the Moon;352358779;195000000;154;2011;0;894;829;581;2593;2;Action
Transformers: Revenge of the Fallen;402076689;200000000;150;2009;0;894;581;464;3218;0;Action
TRON: Legacy;172051787;170000000;125;2010;364;12000;10000;1000;25550;0;Action
Troy;133228348;175000000;196;2004;249;11000;5000;844;17944;2;Action
Trucker;52166;2000000;90;2008;7;87000;781;711;89263;3;Drama
Tuck Everlasting;19158074;15000000;90;2002;13;882;874;613;2661;2;Drama
Twilight;191449475;37000000;122;2008;308;17000;12000;10000;44060;1;Drama
Two Can Play That Game;22235901;6000000;90;2001;7;939;890;405;2815;2;Comedy
Two Lovers;3148482;12000000;110;2008;115;812;580;103;1540;0;Drama
Two Weeks Notice;93307796;60000000;101;2002;30;1000;976;268;2636;2;Comedy
Unbroken;115603980;65000000;137;2014;11000;769;698;465;2938;0;Drama
Unfinished Business;10214013;35000000;91;2015;31;1000;249;141;1564;2;Comedy
Unfriended;31537320;1000000;83;2014;6;707;305;142;1565;0;Terror
Up in the Air;83813460;25000000;108;2009;655;24000;10000;940;35209;0;Drama
Urban Legends: Final Cut;21468807;14000000;97;2000;83;912;786;579;2682;2;Terror
Valentine;20384136;10000000;96;2001;9;690;533;448;2402;1;Terror
Valentine's Day;110476776;52000000;125;2010;0;14000;12000;11000;45696;12;Comedy
Valley of the Heart's Delight;118666;2500000;100;2006;10;655;157;107;1064;7;Drama
Vampires Suck;36658108;20000000;82;2010;82;759;401;354;2898;7;Comedy
Vanity Fair;16123851;23000000;141;2004;300;805;539;73;1618;2;Drama
W,;25517500;25100000;129;2008;0;2000;826;655;4264;1;Drama
Waiting,,,;16101109;3000000;94;2005;6;16000;1000;804;19957;3;Comedy
Walk Hard: The Dewey Cox Story;18317151;35000000;120;2007;52;553;214;134;1082;1;Comedy
Walk the Line;119518352;28000000;153;2005;446;523;405;154;1383;0;Drama
Walking Tall;45860039;56000000;86;2004;10;12000;795;348;14146;1;Action
Wall Street: Money Never Sleeps;52474616;70000000;136;2010;0;903;592;17;1579;2;Drama
War Horse;79883359;66000000;146;2011;14000;25000;19000;979;46726;1;Drama
Warcraft;46978995;160000000;123;2016;0;3000;716;648;5505;0;Action
Warrior;13651662;25000000;140;2011;149;27000;798;581;29692;1;Drama
Water for Elephants;58700247;38000000;120;2011;508;21000;11000;1000;36062;1;Drama
We Are Marshall;43532294;65000000;131;2006;368;11000;529;383;12088;0;Drama
Welcome to Collinwood;333976;12000000;86;2002;94;693;534;146;1373;0;Comedy
Welcome to Mooseport;14469428;26000000;110;2004;80;826;590;509;2466;2;Comedy
We're the Millers;150368971;37000000;118;2013;43;740;707;651;3425;4;Comedy
What Happens in Vegas;80276912;35000000;101;2008;12;642;171;149;1026;2;Comedy
What Women Want;182805123;70000000;127;2000;278;2000;955;912;5838;1;Comedy
Whatever Works;5306447;15000000;92;2009;11000;860;658;386;2717;1;Comedy
What's the Worst That Could Happen?;32095318;45000000;94;2001;39;1000;611;506;3664;0;Comedy
What's Your Number?;13987482;20000000;117;2011;20;11000;904;783;15713;1;Comedy
When a Stranger Calls;47860214;15000000;87;2006;165;1000;431;383;2452;0;Terror
When the Game Stands Tall;30127963;15000000;115;2014;49;116;110;100;525;0;Drama
Whip It;13034417;15000000;111;2009;0;796;787;727;2633;1;Drama
Whiplash;13092000;3300000;107;2014;141;24000;970;535;26495;0;Drama
Whipped;4142507;3000000;82;2000;0;472;324;51;858;1;Comedy
White Chicks;69148997;37000000;109;2004;322;1000;960;861;6313;4;Comedy
White Oleander;16346122;16000000;109;2002;7;835;787;450;2572;0;Drama
Who's Your Caddy?;5694308;7000000;93;2007;70;692;585;442;3128;0;Comedy
Win a Date with Tad Hamilton!;16964743;24000000;95;2004;126;2000;989;886;4681;1;Comedy
Winter's Bone;6531491;2000000;100;2010;81;34000;248;179;34446;2;Drama
Witless Protection;4131640;7500000;97;2008;18;834;749;742;4091;2;Comedy
Woman on Top;5018450;8000000;92;2000;26;1000;905;417;2687;0;Comedy
Wrath of the Titans;83640426;150000000;99;2012;473;14000;897;502;16184;0;Action
Wrong Turn;15417771;12600000;84;2003;36;2000;683;648;3416;1;Terror
X-Men;157299717;75000000;104;2000;0;20000;764;505;21397;0;Action
X-Men: Apocalypse;154985087;178000000;144;2016;0;34000;13000;1000;49684;6;Action
X-Men: First Class;146405371;160000000;132;2011;905;34000;13000;1000;50983;3;Action
Yes Man;97680195;70000000;104;2008;235;14000;11000;1000;29505;1;Comedy
You Again;25677801;20000000;105;2010;99;2000;938;518;4813;6;Comedy
You Can Count on Me;9180275;1200000;111;2000;50;2000;710;612;4288;0;Drama
You Got Served;40066497;8000000;95;2004;548;389;363;360;1792;0;Drama
"You; Me and Dupree";75604320;54000000;110;2006;94;277;245;240;847;1;Comedy
Zack and Miri Make a Porno;31452765;24000000;101;2008;0;218;216;92;638;7;Comedy
Zookeeper;80360866;80000000;102;2011;153;3000;1000;269;5392;1;Comedy
Zoolander 2;28837115;50000000;102;2016;0;14000;8000;1000;24107;4;Comedy
Zoom;11631245;35000000;83;2006;12;2000;826;690;5022;5;Action
